CH1,CH2,CH3,CH4,Timestamp
-5729.64350861311,-6332.111337393522,-6730.637169718742,-5831.729877740145,1731337436.788032
-6380.283241510391,-7616.789910823107,-8146.441529989243,-6406.185493439436,1731337436.7880323
-7272.435586154461,-8678.001509994268,-9204.823461532593,-7156.966234624386,1731337436.7881775
-8054.4377861619,-9104.401364713907,-9497.678010463715,-7790.735887467861,1731337436.788178
-8413.172531604767,-8711.357635736465,-8890.305773973465,-8052.239698290825,1731337436.7881806
-8187.964364349842,-7618.515507102013,-7584.155208259821,-7818.93711361289,1731337436.7881808
-7437.60821634531,-6221.484096348286,-6059.5909343361855,-7153.499524354935,1731337436.7881837
-6426.656829297543,-5043.162420451641,-4891.777386695147,-6286.384120345116,1731337436.7881851
-5523.482707560062,-4518.234398722649,-4511.285850375891,-5526.5536098480225,1731337436.7881894
-5050.3908213377,-4815.507392704487,-5028.784891188145,-5137.212534427643,1731337436.78819
-5155.23411989212,-5780.959029644728,-6204.620788961649,-5233.038818359375,1731337436.7881932
-5760.01574754715,-7012.424645334482,-7558.429441720247,-5741.415762543678,1731337436.7881935
-6599.066074192524,-8016.521727055311,-8553.385594904423,-6436.134042710066,1731337436.7881963
-7320.6769515872,-8383.208086967468,-8783.501114934683,-7022.62868475914,1731337436.7881968
-7612.747189819813,-7929.924660503864,-8116.436500072479,-7243.503025889397,1731337436.7882009
-7316.9822154045105,-6779.041714370251,-6756.134545862675,-6974.143322944641,1731337436.788201
-6496.227787435055,-5329.185387313366,-5185.253751993179,-6276.312353551388,1731337436.7882044
-5419.995434701443,-4105.20003259182,-3979.681402027607,-5380.698385775089,1731337436.788205
-4460.755558013916,-3541.2301941514015,-3567.893413722515,-4596.524568080902,1731337436.788208
-3942.5758759379387,-3803.32602506876,-4056.350935637951,-4186.256231307983,1731337436.7882085
-4012.7634848356247,-4734.544088661671,-5201.598214030266,-4262.881032466888,1731337436.788211
-4591.831778883934,-5931.623469948769,-6521.976370334625,-4752.171745181084,1731337436.7882116
-5412.873767077923,-6902.298459708691,-7482.024374306202,-5427.253424584866,1731337436.7882147
-6123.29962259531,-7238.9583904743195,-7678.639385819435,-5993.74029481411,1731337436.7882147
-6410.04635566473,-6761.705454647541,-6982.720516324043,-6194.687958061695,1731337436.7882192
-6113.379791200161,-5594.723199248314,-5600.623407959938,-5905.723546624184,1731337436.7882197
-5293.795383512974,-4136.262738704681,-4015.0423723459244,-5188.102320313454,1731337436.7882245
-4217.117699682713,-2907.5982548594475,-2798.374109208584,-4270.7286813259125,1731337436.7882247
-3250.6391556859016,-2336.2265484929085,-2372.2850636839867,-3459.6280956864357,1731337436.7882288
-2712.3332529067993,-2580.046851694584,-2834.9813528060913,-3013.3056592941284,1731337436.788229
-2744.1419060230255,-3475.2613393068314,-3936.395932137966,-3041.559722483158,1731337436.7882316
-3263.9315457344055,-4615.687098741531,-5192.582932531834,-3469.2793350219727,1731337436.788232
-4006.2494608163834,-5511.426801502705,-6071.3215319514275,-4071.823124408722,1731337436.7882347
-4624.856107234955,-5763.008822321892,-6178.569580972195,-4560.6776612997055,1731337436.7882352
-4818.011206746101,-5204.004949688911,-5399.440000712872,-4688.543643712997,1731337436.788238
-4440.878222823143,-3975.0267520546913,-3956.973812222481,-4343.268339931965,1731337436.7882388
-3569.490685045719,-2489.6404237151146,-2348.694733917713,-3598.4015414118767,1731337436.7882419
-2482.4460631012917,-1279.518190562725,-1156.2066186070442,-2692.464985847473,1731337436.788242
-1554.5737748146057,-775.887257874012,-803.3853066563606,-1936.4124048352242,1731337436.7882447
-1105.1459375619888,-1133.7815729379654,-1384.1681109070778,-1588.1268928647041,1731337436.7882452
-1271.1302545070648,-2180.6795350909233,-2638.7870464920998,-1751.3346933722496,1731337436.7882485
